# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
  β    (U+03B2)
  γ    (U+03B3)
  δ    (U+03B4)
  ε    (U+03B5)
  ζ    (U+03B6)
  η    (U+03B7)
  θ    (U+03B8)
  ι    (U+03B9)
  κ    (U+03BA)
  λ    (U+03BB)
  μ    (U+03BC)
  ν    (U+03BD)
  ξ    (U+03BE)
  ο    (U+03BF)
  π    (U+03C0)
  ρ    (U+03C1)
  ς    (U+03C2)
  σ    (U+03C3)
  τ    (U+03C4)
  υ    (U+03C5)
  φ    (U+03C6)
  χ    (U+03C7)
  ψ    (U+03C8)
  ω    (U+03C9)
  ϊ    (U+03CA)
  ϋ    (U+03CB)
  ό    (U+03CC)
  ύ    (U+03CD)
  ώ    (U+03CE)
  Ё    (U+0401)
  Ђ    (U+0402)
  Ѓ    (U+0403)
  Є    (U+0404)
  Ѕ    (U+0405)
  І    (U+0406)
  Ї    (U+0407)
  Ј    (U+0408)
  Љ    (U+0409)
  Њ    (U+040A)
  Ћ    (U+040B)
  Ќ    (U+040C)
  Ў    (U+040E)
  Џ    (U+040F)
  А    (U+0410)
  Б    (U+0411)
  В    (U+0412)
  Г    (U+0413)
  Д    (U+0414)
  Е    (U+0415)
  Ж    (U+0416)
  З    (U+0417)
  И    (U+0418)
  Й    (U+0419)
  К    (U+041A)
  Л    (U+041B)
  М    (U+041C)
  Н    (U+041D)
  О    (U+041E)
  П    (U+041F)
  Р    (U+0420)
  С    (U+0421)
  Т    (U+0422)
  У    (U+0423)
  Ф    (U+0424)
  Х    (U+0425)
  Ц    (U+0426)
  Ч    (U+0427)
  Ш    (U+0428)
  Щ    (U+0429)
  Ъ    (U+042A)
  Ы    (U+042B)
  Ь    (U+042C)
  Э    (U+042D)
  Ю    (U+042E)
  Я    (U+042F)
  а    (U+0430)
  б    (U+0431)
  в    (U+0432)
  г    (U+0433)
  д    (U+0434)
  е    (U+0435)
  ж    (U+0436)
  з    (U+0437)
  и    (U+0438)
  й    (U+0439)
  к    (U+043A)
  л    (U+043B)
  м    (U+043C)
  н    (U+043D)
  о    (U+043E)
  п    (U+043F)
  р    (U+0440)
  с    (U+0441)
  т    (U+0442)
  у    (U+0443)
  ф    (U+0444)
  х    (U+0445)
  ц    (U+0446)
  ч    (U+0447)
  ш    (U+0448)
  щ    (U+0449)
  ъ    (U+044A)
  ы    (U+044B)
  ь    (U+044C)
  э    (U+044D)
  ю    (U+044E)
  я    (U+044F)
  ё    (U+0451)
  ђ    (U+0452)
  ѓ    (U+0453)
  є    (U+0454)
  ѕ    (U+0455)
  і    (U+0456)
  ї    (U+0457)
  ј    (U+0458)
  љ    (U+0459)
  њ    (U+045A)
  ћ    (U+045B)
  ќ    (U+045C)
  ў    (U+045E)
  џ    (U+045F)
  Ґ    (U+0490)
  ґ    (U+0491)
  Ẁ    (U+1E80)
  ẁ    (U+1E81)
  Ẃ    (U+1E82)
  ẃ    (U+1E83)
  Ẅ    (U+1E84)
  ẅ    (U+1E85)
  Ỳ    (U+1EF2)
  ỳ    (U+1EF3)
  –    (U+2013)
  —    (U+2014)
  ―    (U+2015)
  ‗    (U+2017)
  ‚    (U+201A)
  ‛    (U+201B)
  „    (U+201E)
  †    (U+2020)
  ‡    (U+2021)
  •    (U+2022)
  …    (U+2026)
  ‰    (U+2030)
  ′    (U+2032)
  ″    (U+2033)
  ‹    (U+2039)
  ›    (U+203A)
  ‼    (U+203C)
  ‾    (U+203E)
  ⁄    (U+2044)
  ⁿ    (U+207F)
  ₣    (U+20A3)
  ₤    (U+20A4)
  ₧    (U+20A7)
  ℅    (U+2105)
  ℓ    (U+2113)
  №    (U+2116)
  ™    (U+2122)
  Ω    (U+2126)
  ℮    (U+212E)
  ⅛    (U+215B)
  ⅜    (U+215C)
  ⅝    (U+215D)
  ⅞    (U+215E)
  ←    (U+2190)
  ↑    (U+2191)
  →    (U+2192)
  ↓    (U+2193)
  ↔    (U+2194)
  ↕    (U+2195)
  ↨    (U+21A8)
  ∂    (U+2202)
  ∆    (U+2206)
  ∏    (U+220F)
  ∑    (U+2211)
  −    (U+2212)
  ∕    (U+2215)
  ∙    (U+2219)
  √    (U+221A)
  ∞    (U+221E)
  ∟    (U+221F)
  ∩    (U+2229)
  ∫    (U+222B)
  ≈    (U+2248)
  ≠    (U+2260)
  ≡    (U+2261)
  ≤    (U+2264)
  ≥    (U+2265)
  ⌂    (U+2302)
  ⌐    (U+2310)
  ⌠    (U+2320)
  ⌡    (U+2321)
  ─    (U+2500)
  │    (U+2502)
  ┌    (U+250C)
  ┐    (U+2510)
  └    (U+2514)
  ┘    (U+2518)
  ├    (U+251C)
  ┤    (U+2524)
  ┬    (U+252C)
  ┴    (U+2534)
  ┼    (U+253C)
  ═    (U+2550)
  ║    (U+2551)
  ╒    (U+2552)
  ╓    (U+2553)
  ╔    (U+2554)
  ╕    (U+2555)
  ╖    (U+2556)
  ╗    (U+2557)
  ╘    (U+2558)
  ╙    (U+2559)
  ╚    (U+255A)
  ╛    (U+255B)
  ╜    (U+255C)
  ╝    (U+255D)
  ╞    (U+255E)
  ╟    (U+255F)
  ╠    (U+2560)
  ╡    (U+2561)
  ╢    (U+2562)
  ╣    (U+2563)
  ╤    (U+2564)
  ╥    (U+2565)
  ╦    (U+2566)
  ╧    (U+2567)
  ╨    (U+2568)
  ╩    (U+2569)
  ╪    (U+256A)
  ╫    (U+256B)
  ╬    (U+256C)
  ▀    (U+2580)
  ▄    (U+2584)
  █    (U+2588)
  ▌    (U+258C)
  ▐    (U+2590)
  ░    (U+2591)
  ▒    (U+2592)
  ▓    (U+2593)
  ■    (U+25A0)
  □    (U+25A1)
  ▪    (U+25AA)
  ▫    (U+25AB)
  ▬    (U+25AC)
  ▲    (U+25B2)
  ►    (U+25BA)
  ▼    (U+25BC)
  ◄    (U+25C4)
  ◊    (U+25CA)
  ○    (U+25CB)
  ●    (U+25CF)
  ◘    (U+25D8)
  ◙    (U+25D9)
  ◦    (U+25E6)
  ☺    (U+263A)
  ☻    (U+263B)
  ☼    (U+263C)
  ♀    (U+2640)
  ♂    (U+2642)
  ♠    (U+2660)
  ♣    (U+2663)
  ♥    (U+2665)
  ♦    (U+2666)
  ♪    (U+266A)
  ♫    (U+266B)
  \uf001  (U+F001)
  \uf002  (U+F002)
  \uf004  (U+F004)
  \uf005  (U+F005)
  ﬁ    (U+FB01)
  ﬂ    (U+FB02)
